idJugador,peso,experiencia,ma_f_Muneca,ma_i_Muneca,ma_std_Muneca,ma_i_Codo,ma_f_Codo,ma_std_Codo,ma_i_Hombro,ma_f_Hombro,ma_std_Hombro,ma_i_Cadera,ma_f_Cadera,ma_std_Cadera,ma_i_Rodilla,ma_f_Rodilla,ma_std_Rodilla,ma_i_Tobillo,ma_f_Tobillo,ma_std_Tobillo,efectividad,edad,sexo
2,86,13,149.8801727,180.9558618,15.43222953,178.0352325,203.2524431,34.78677012,43.74005127,28.67738661,72.78482692,133.3037109,158.5889707,36.58140486,97.04804993,162.1898214,23.81626072,99.97193146,131.8272023,17.73760296,60,28,M
4,52,7,194.9500412,182.1446324,10.96967631,145.8962204,127.8448848,28.10738252,76.19624786,152.3641454,52.12228857,114.267395,202.4086155,42.78495148,105.4469948,172.8593505,19.40980741,98.84002431,147.1325152,19.65733638,90,21,F
3,57,5,181.7300201,182.3923065,3.431722803,96.57779312,169.4159585,32.99455303,48.20575905,131.0300164,66.74860586,176.359491,168.3699891,33.59821401,131.6822832,179.3372368,22.27762701,136.5755447,147.4418638,18.15961695,80,19,F
1,79,12,,,,112.9502098,123.3716325,24.2324137,86.97897949,184.3770533,37.7496766,102.6711983,165.0102375,38.54149952,103.6771851,185.5306244,29.08748847,102.7778685,145.4415863,23.47060443,100,24,M
