idJugador,peso,experiencia,vl_i_Muneca,vl_f_Muneca,vl_std_Muneca,vl_i_Codo,vl_f_Codo,vl_std_Codo,vl_i_Hombro,vl_f_Hombro,vl_std_Hombro,vl_i_Cadera,vl_f_Cadera,vl_std_Cadera,vl_i_Rodilla,vl_f_Rodilla,vl_std_Rodilla,vl_i_Tobillo,vl_f_Tobillo,vl_std_Tobillo,efectividad,edad,sexo
2,86,13,1.016950806,1.416708089,3.923544615,0.066954136,1.679521549,1.312100553,0.89815859,1.60400277,0.534240365,2.048878789,2.021599839,0.554777413,3.086020072,2.093118371,0.690962417,4.56725502,0.797641001,1.201621606,60,28,M
4,52,7,95.69876888,199.4047883,55.35913943,16.99710923,20.69083085,18.01473499,21.3154494,29.33966848,4.885259923,29.8168988,25.58938581,9.671105219,40.80294195,26.85012315,9.930991373,5.320423259,3.938775582,1.474657664,90,21,F
3,57,5,2.053964561,9.595181277,2.61851038,0.480459515,2.821263999,0.819781318,0.970029718,1.302896255,0.258613269,1.036247164,1.058577577,0.379892535,2.27701196,1.599719665,0.488716332,2.129066233,2.013242359,0.983063251,80,19,F
1,79,12,,,,22.53702797,97.81603576,32.59771986,20.00900434,58.86339559,17.61507722,26.04867117,20.63185728,20.04234838,38.35355606,46.6382305,10.16813418,52.39566513,64.48333691,21.34988678,100,24,M
